x, y
9.60, 0.20
2.60, 5.10
6.80, 3.40
9.60, 7.40
0.70, 5.00
0.70, 1.30
5.30, 8.00
8.40, 7.90
2.50, 4.00
6.40, 3.20
1.80, 4.60
2.70, 3.10
4.80, 0.80
3.00, 0.80
1.80, 6.20
2.60, 3.60
8.90, 3.60
8.20, 2.90
4.00, 4.90
2.80, 9.10
1.40, 0.90
7.20, 0.20
5.40, 3.00
9.20, 7.70
2.30, 8.50
6.30, 5.70
8.30, 2.40
7.50, 9.40
9.30, 5.40
1.60, 9.40
9.40, 8.40
5.20, 0.10
7.50, 0.20
3.50, 7.50
0.30, 7.30
6.60, 6.70
4.70, 6.90
6.70, 9.30
8.00, 9.50
9.00, 7.60
7.50, 1.40
8.40, 9.60
6.60, 2.10
3.30, 5.90
7.20, 6.30
5.90, 6.00
6.40, 3.40
9.60, 0.70
0.50, 4.20
9.00, 1.10
4.00, 9.80
2.70, 5.50
7.20, 4.90
2.40, 0.10
5.00, 8.20
4.00, 8.30
8.50, 6.00
4.30, 5.70
9.50, 5.30
0.20, 9.80
4.30, 6.00
9.60, 5.40
0.20, 5.60
6.70, 4.50
4.10, 1.70
1.70, 4.60
9.10, 7.00
7.30, 5.80
4.50, 4.10
9.90, 1.90
9.10, 3.80
9.50, 2.80
1.90, 6.50
7.40, 3.10
0.30, 7.60
9.70, 7.40
3.90, 9.70
6.40, 1.80
4.80, 2.30
8.40, 3.90
0.80, 0.40
1.10, 7.30
1.10, 4.20
1.20, 0.80
6.30, 2.30
2.40, 8.20
0.10, 7.70
1.60, 3.50
4.40, 3.10
3.40, 2.50
2.20, 0.60
1.80, 1.50
9.20, 0.70
4.50, 9.30
3.30, 5.40
0.30, 3.90
0.10, 4.30
1.00, 4.20
9.50, 7.50
8.00, 0.50
